Name,System,Neurotransmitter,ConfidenceInNeuroTransmitter,Type_Main,Type_Class,Type_Full
ADAL,Somatic,Glutamate,1,Interneuron,Single,Interneuron
ADAR,Somatic,Glutamate,1,Interneuron,Single,Interneuron
ADEL,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron
ADER,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron
ADFL,Somatic,Serotonin,1,Sensory Neuron,Single,Sensory neuron (chemosensory)
ADFR,Somatic,Serotonin,1,Sensory Neuron,Single,Sensory neuron (chemosensory)
ADLL,Somatic,FMRFamide,1,Sensory Neuron,Multiple,"Sensory neuron (chemosensory, odorsensory, nociceptive)"
ADLR,Somatic,FMRFamide,1,Sensory Neuron,Multiple,"Sensory neuron (chemosensory, odorsensory, nociceptive)"
AFDL,Somatic,Glutamate,0.4,Sensory Neuron,Multiple,Sensory neuron (thermosensory and CO2- sensory)
AFDR,Somatic,Glutamate,0.4,Sensory Neuron,Multiple,Sensory neuron (thermosensory and CO2- sensory)
AIAL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
AIAR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
AIBL,Somatic,Glutamate,0.3,Interneuron,Single,Interneuron
AIBR,Somatic,Glutamate,0.3,Interneuron,Single,Interneuron
AIML,Somatic,Serotonin,1,Interneuron,Single,Interneuron
AIMR,Somatic,Serotonin,1,Interneuron,Single,Interneuron
AINL,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AINR,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AIYL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
AIYR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
AIZL,Somatic,Glutamate,0.5,Interneuron,Single,Interneuron
AIZR,Somatic,Glutamate,0.5,Interneuron,Single,Interneuron
ALA,Somatic,Glutamate,0.8,Interneuron,Single,Interneuron
ALML,Somatic,Glutamate,1,Sensory Neuron,Single,Sensory neuron (Mechanosensory)
ALMR,Somatic,Glutamate,1,Sensory Neuron,Single,Sensory neuron (Mechanosensory)
ALNL,Somatic,Acetylcholine,1,Unknown,Single,Neuron with unknown function
ALNR,Somatic,Acetylcholine,1,Unknown,Single,Neuron with unknown function
AQR,Somatic,Glutamate,0.5,Sensory Neuron,Single,Putative sensory neuron (Oxygen sensor)
AS1,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS10,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS11,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS2,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS3,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS4,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
